interest_rate,amount,id,default_likelihood,state
0.25,23549,1,0.04,LA
0.25,47821,2,0.05,TN
0.35,92388,3,0.07,SC
0.15,13961,4,0.01,OK
0.35,76811,5,0.07,WA
0.15,44971,6,0.02,WA
0.35,90674,7,0.08,CT
0.15,32032,8,0.01,NH
0.25,20829,9,0.02,ND
0.25,82388,10,0.04,AZ
0.15,95190,11,0.02,CT
0.25,76803,12,0.06,DC
0.15,69504,13,0.01,HI
0.15,58893,14,0.01,NH
0.15,15981,15,0.01,MT
0.25,14469,16,0.06,MO
0.15,78895,17,0.01,SD
0.15,84543,18,0.01,WI
0.25,11313,19,0.06,IL
0.35,68081,20,0.08,ME
0.15,65867,21,0.01,WY
0.15,21263,22,0.02,DE
0.15,25525,23,0.01,NC
0.15,91863,24,0.01,NJ
0.15,55108,25,0.01,CA
0.35,11692,26,0.07,ME
0.15,31265,27,0.01,VT
0.35,97192,28,0.09,LA
0.25,91587,29,0.05,IA
0.35,41232,30,0.07,DE
0.35,45734,31,0.07,RI
0.25,66718,32,0.06,NH
0.35,75979,33,0.08,ND
0.35,83522,34,0.07,KY
0.35,11016,35,0.07,RI
0.35,91220,36,0.09,MN
0.15,54468,37,0.02,MI
0.25,84312,38,0.03,TX
0.35,76461,39,0.09,TN
0.35,86421,40,0.08,ND
0.15,42369,41,0.02,IN
0.15,49753,42,0.02,UT
0.15,34384,43,0.02,MO
0.25,75619,44,0.06,GA
0.25,56837,45,0.02,NH
0.35,79067,46,0.07,VT
0.35,73623,47,0.09,NY
0.15,59059,48,0.02,VT
0.25,57415,49,0.06,HI
0.35,74166,50,0.07,WA
0.15,51703,51,0.01,MT
0.15,94834,52,0.01,PA
0.15,53193,53,0.02,VA
0.25,62037,54,0.05,WV
0.35,20402,55,0.08,MS
0.35,31018,56,0.08,WI
0.25,84957,57,0.05,UT
0.15,16211,58,0.01,SD
0.25,72366,59,0.04,MS
0.15,47292,60,0.02,VT
0.25,90794,61,0.06,CT
0.35,58450,62,0.06,PA
0.25,43450,63,0.05,NE
0.25,66443,64,0.04,NV
0.15,28604,65,0.01,VA
0.35,63745,66,0.08,ID
0.15,28736,67,0.02,MD
0.25,72955,68,0.07,MN
0.35,88662,69,0.09,KY
0.35,79678,70,0.08,CO
0.15,70156,71,0.0,MS
0.25,17556,72,0.07,OK
0.25,25967,73,0.06,OH
0.35,75867,74,0.08,DC
0.15,90652,75,0.02,AL
0.25,10570,76,0.05,NH
0.25,15954,77,0.06,NY
0.15,96443,78,0.02,NM
0.25,61127,79,0.06,HI
0.35,71974,80,0.08,MS
0.15,53270,81,0.01,WI
0.15,28425,82,0.0,NY
0.25,91956,83,0.05,MD
0.15,57990,84,0.0,ND
0.25,94440,85,0.06,MD
0.15,50568,86,0.01,RI
0.25,33624,87,0.03,OK
0.15,22137,88,0.01,DC
0.25,40754,89,0.04,NE
0.35,30719,90,0.08,MA
0.25,87873,91,0.06,MI
0.35,85691,92,0.09,AZ
0.35,21393,93,0.09,NY
0.35,89814,94,0.08,WY
0.25,71764,95,0.06,WI
0.15,88547,96,0.02,FL
0.25,67523,97,0.06,OR
0.35,71909,98,0.09,WY
0.35,71921,99,0.08,LA
0.15,21584,100,0.01,OH
0.25,94400,101,0.06,AR
0.25,52983,102,0.05,UT
0.25,14811,103,0.05,NE
0.15,13117,104,0.01,MO
0.15,14668,105,0.01,AZ
0.15,99715,106,0.01,UT
0.15,50433,107,0.01,VT
0.25,97073,108,0.06,TN
0.15,97976,109,0.0,RI
0.15,76349,110,0.02,NV
0.15,90872,111,0.02,CA
0.15,15162,112,0.01,MO
0.15,25363,113,0.0,ID
0.15,62577,114,0.02,AZ
0.35,47394,115,0.08,VA
0.15,45665,116,0.02,MD
0.35,91999,117,0.07,UT
0.35,61199,118,0.08,CO
0.15,40491,119,0.02,ID
0.35,53281,120,0.08,MA
0.15,19271,121,0.01,NE
0.15,83742,122,0.01,NC
0.15,61171,123,0.02,LA
0.35,11950,124,0.09,NH
